"","Entry","From","Reviewed","Protein names","Gene Names","Annotation","Keywords","PubMed ID","Gene Names (ORF)","KEGG","eggNOG","RefSeq","CAZy","BRENDA","OrthoDB","Pfam","InterPro","BioCyc","UniPathway","gene_locus","gene_name","SubtiCats","subti_func","UniKey"
"1","A0A2K4Z9G8","A0A2K4Z9G8","reviewed","Cortex morphogenetic protein A","cmpA BSU_04785",3,"Reference proteome;Sporulation","9384377; 29280348; 22463703; 26387458","","","","WP_003225207.1;YP_009513946.1;","","","2691694at2;","","IPR047764;","BSUB:MONOMER8J2-49;","","BSU_04785","cmpA","446","sporulation","sporulation"
"2","A0AAT9J3Y0","A0AAT9J3Y0","unreviewed","Cell shape determination factor","rodZ BSU_16910",1,"Membrane;Reference proteome;Transmembrane;Transmembrane helix","9384377","BSU_16910","","","","","","","PF13413;PF13464;","IPR050400;IPR001387;IPR010982;IPR025194;","","","BSU_16910","rodZ","4, 55, 135","sporulation","NA"
"3","A0AAT9J413","A0AAT9J413","unreviewed","Spore germination membrane protein","yqhR BSU_24480",1,"Membrane;Reference proteome;Transmembrane;Transmembrane helix","9384377","BSU_24480","","","","","","","PF11085;","IPR024563;","","","BSU_24480","figP","55, 183, 408","germination","NA"
"4","A0PZS6","A0PZS6","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB NT01CX_1805",3,"ATP-binding;Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Sporulation;Transferase","17115055","","cno:NT01CX_1805;","COG2172;","WP_011721883.1;","","","","PF13581;","IPR050267;IPR010194;IPR036890;","","",NA,NA,NA,NA,"sporulation"
"5","A0RAQ6","A0RAQ6","reviewed","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","hpr BALH_0933",2,"DNA-binding;Repressor;Sporulation;Transcription;Transcription regulation","17337577","","btl:BALH_0933;","","WP_000834918.1;","","","","PF01047;","IPR000835;IPR023488;IPR039422;IPR023187;IPR036388;IPR036390;","","",NA,NA,NA,NA,"sporulation"
"6","A0RH02","A0RH02","reviewed","Small, acid-soluble spore protein Tlp","tlp BALH_3249",1,"Sporulation","17337577","","btl:BALH_3249;","","WP_001133509.1;","","","","PF19824;","IPR017524;","","",NA,NA,NA,NA,"sporulation"
"7","A0RHX9","A0RHX9","reviewed","Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)","tgl BALH_3589",2,"Acyltransferase;Sporulation;Transferase","17337577","","btl:BALH_3589;","","WP_000635324.1;","","","","PF20085;","IPR020916;","","",NA,NA,NA,NA,"sporulation"
"8","A0RI78","A0RI78","reviewed","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","spoIIAB BALH_3691",3,"ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase","17337577","","btl:BALH_3691;","","WP_001243400.1;","","","","PF13581;","IPR050267;IPR010194;IPR036890;","","",NA,NA,NA,NA,"sporulation"
"9","A0RKS4","A0RKS4","reviewed","2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)","gpmI BALH_4628",3,"Glycolysis;Isomerase;Manganese;Metal-binding;Phosphoprotein;Sporulation","17337577","","btl:BALH_4628;","","WP_001231156.1;","","","","PF06415;PF01676;","IPR017850;IPR011258;IPR006124;IPR036646;IPR005995;","","UPA00109;",NA,NA,NA,NA,"sporulation"
"10","A3DEN2","A3DEN2","reviewed","Small, acid-soluble spore protein H (SASP H)","sspH Cthe_1179",1,"Reference proteome;Sporulation","","","cth:Cthe_1179;","ENOG5030S3N;","WP_003519171.1;","","","1683648at2;","PF08141;","IPR012610;","","",NA,NA,NA,NA,"sporulation"
